Fraction Removed,LCC Size,Number of Components
0.0000,2500,1
0.0002,2499,1
0.0004,2498,1
0.0006,2497,1
0.0008,2496,1
0.0010,2495,1
0.0012,2494,1
0.0014,2493,1
0.0016,2492,1
0.0018,2491,1
0.0020,2490,1
0.0022,2489,1
0.0024,2488,1
0.0026,2487,1
0.0028,2486,1
0.0030,2485,1
0.0032,2484,1
0.0034,2483,1
0.0036,2482,1
0.0038,2481,1
0.0040,2480,1
0.0042,2479,1
0.0044,2478,1
0.0046,2477,1
0.0048,2476,1
0.0050,2475,1
0.0052,2474,1
0.0054,2473,1
0.0056,2472,1
0.0058,2471,1
0.0060,2470,1
0.0062,2469,1
0.0064,2468,1
0.0066,2467,1
0.0068,2466,1
0.0070,2465,1
0.0072,2464,1
0.0074,2463,1
0.0076,2462,1
0.0078,2461,1
0.0080,2460,1
0.0082,2459,1
0.0084,2458,1
0.0086,2457,1
0.0088,2456,1
0.0090,2455,1
0.0092,2454,1
0.0094,2453,1
0.0096,2452,1
0.0098,2451,1
0.0100,2450,1
0.0102,2449,1
0.0104,2448,1
0.0106,2447,1
0.0108,2446,1
0.0110,2445,1
0.0112,2444,1
0.0114,2443,1
0.0116,2442,1
0.0118,2441,1
0.0120,2440,1
0.0122,2439,1
0.0124,2438,1
0.0126,2437,1
0.0128,2436,1
0.0130,2435,1
0.0132,2434,1
0.0134,2433,1
0.0136,2432,1
0.0138,2431,1
0.0140,2430,1
0.0142,2429,1
0.0144,2428,1
0.0146,2427,1
0.0148,2426,1
0.0150,2425,1
0.0152,2424,1
0.0154,2423,1
0.0156,2422,1
0.0158,2421,1
0.0160,2420,1
0.0162,2419,1
0.0164,2418,1
0.0166,2416,2
0.0168,2415,2
0.0170,2414,2
0.0172,2413,2
0.0174,2412,2
0.0176,2411,2
0.0178,2410,2
0.0180,2409,2
0.0182,2408,2
0.0184,2407,2
0.0186,2406,2
0.0188,2405,2
0.0190,2404,2
0.0192,2403,2
0.0194,2402,2
0.0196,2401,2
0.0198,2400,2
0.0200,2399,2
0.0202,2398,2
0.0204,2397,2
0.0206,2396,2
0.0208,2395,2
0.0210,2394,2
0.0212,2393,2
0.0214,2392,2
0.0216,2391,2
0.0218,2390,2
0.0220,2389,2
0.0222,2388,2
0.0224,2387,2
0.0226,2386,2
0.0228,2385,2
0.0230,2384,2
0.0232,2383,2
0.0234,2382,2
0.0236,2381,2
0.0238,2380,2
0.0240,2379,2
0.0242,2378,2
0.0244,2377,2
0.0246,2376,2
0.0248,2375,2
0.0250,2374,2
0.0252,2373,2
0.0254,2372,2
0.0256,2371,2
0.0258,2370,2
0.0260,2369,2
0.0262,2368,2
0.0264,2367,2
0.0266,2366,2
0.0268,2365,2
0.0270,2364,2
0.0272,2363,2
0.0274,2362,2
0.0276,2361,2
0.0278,2360,2
0.0280,2359,2
0.0282,2358,2
0.0284,2357,2
0.0286,2356,2
0.0288,2355,2
0.0290,2354,2
0.0292,2352,3
0.0294,2351,3
0.0296,2350,3
0.0298,2349,3
0.0300,2348,3
0.0302,2347,3
0.0304,2346,3
0.0306,2345,3
0.0308,2344,3
0.0310,2343,3
0.0312,2342,3
0.0314,2341,3
0.0316,2340,3
0.0318,2339,3
0.0320,2338,3
0.0322,2337,3
0.0324,2336,3
0.0326,2335,3
0.0328,2334,3
0.0330,2333,3
0.0332,2332,3
0.0334,2331,3
0.0336,2330,3
0.0338,2329,3
0.0340,2328,3
0.0342,2327,3
0.0344,2326,3
0.0346,2325,3
0.0348,2324,3
0.0350,2323,3
0.0352,2322,3
0.0354,2321,3
0.0356,2320,3
0.0358,2319,3
0.0360,2318,3
0.0362,2317,3
0.0364,2316,3
0.0366,2315,3
0.0368,2314,3
0.0370,2313,3
0.0372,2312,3
0.0374,2311,3
0.0376,2310,3
0.0378,2309,3
0.0380,2308,3
0.0382,2307,3
0.0384,2306,3
0.0386,2305,3
0.0388,2304,3
0.0390,2303,3
0.0392,2302,3
0.0394,2301,3
0.0396,2300,3
0.0398,2299,3
0.0400,2298,3
0.0402,2297,3
0.0404,2296,3
0.0406,2295,3
0.0408,2294,3
0.0410,2293,3
0.0412,2292,3
0.0414,2291,3
0.0416,2290,3
0.0418,2289,3
0.0420,2288,3
0.0422,2287,3
0.0424,2286,3
0.0426,2285,3
0.0428,2284,3
0.0430,2283,3
0.0432,2282,3
0.0434,2281,3
0.0436,2280,3
0.0438,2279,3
0.0440,2278,3
0.0442,2277,3
0.0444,2276,3
0.0446,2275,3
0.0448,2274,3
0.0450,2273,3
0.0452,2272,3
0.0454,2271,3
0.0456,2270,3
0.0458,2269,3
0.0460,2268,3
0.0462,2267,3
0.0464,2266,3
0.0466,2265,3
0.0468,2264,3
0.0470,2263,3
0.0472,2262,3
0.0474,2261,3
0.0476,2260,3
0.0478,2259,3
0.0480,2258,3
0.0482,2257,3
0.0484,2256,3
0.0486,2255,3
0.0488,2254,3
0.0490,2253,3
0.0492,2252,3
0.0494,2251,3
0.0496,2250,3
0.0498,2249,3
0.0500,2248,3
0.0502,2247,3
0.0504,2246,3
0.0506,2245,3
0.0508,2244,3
0.0510,2243,3
0.0512,2242,3
0.0514,2241,3
0.0516,2240,3
0.0518,2239,3
0.0520,2238,3
0.0522,2237,3
0.0524,2236,3
0.0526,2235,3
0.0528,2234,3
0.0530,2233,3
0.0532,2232,3
0.0534,2231,3
0.0536,2230,3
0.0538,2229,3
0.0540,2228,3
0.0542,2227,3
0.0544,2226,3
0.0546,2225,3
0.0548,2224,3
0.0550,2223,3
0.0552,2222,3
0.0554,2221,3
0.0556,2220,3
0.0558,2219,3
0.0560,2218,3
0.0562,2217,3
0.0564,2216,3
0.0566,2215,3
0.0568,2214,3
0.0570,2213,3
0.0572,2212,3
0.0574,2211,3
0.0576,2210,3
0.0578,2209,3
0.0580,2208,3
0.0582,2207,3
0.0584,2206,3
0.0586,2205,3
0.0588,2204,3
0.0590,2203,3
0.0592,2202,3
0.0594,2201,3
0.0596,2200,3
0.0598,2199,3
0.0600,2198,3
0.0602,2197,3
0.0604,2196,3
0.0606,2195,3
0.0608,2193,4
0.0610,2192,4
0.0612,2191,4
0.0614,2190,4
0.0616,2189,4
0.0618,2188,4
0.0620,2187,4
0.0622,2186,4
0.0624,2185,4
0.0626,2183,5
0.0628,2182,5
0.0630,2181,5
0.0632,2180,5
0.0634,2179,5
0.0636,2178,5
0.0638,2177,5
0.0640,2176,5
0.0642,2175,5
0.0644,2174,5
0.0646,2173,5
0.0648,2172,5
0.0650,2171,5
0.0652,2170,5
0.0654,2169,5
0.0656,2168,5
0.0658,2167,5
0.0660,2166,5
0.0662,2165,5
0.0664,2164,5
0.0666,2163,5
0.0668,2162,5
0.0670,2161,5
0.0672,2160,5
0.0674,2159,5
0.0676,2158,5
0.0678,2157,5
0.0680,2156,5
0.0682,2155,5
0.0684,2154,5
0.0686,2153,5
0.0688,2152,5
0.0690,2151,5
0.0692,2150,5
0.0694,2149,5
0.0696,2148,5
0.0698,2147,5
0.0700,2146,5
0.0702,2145,5
0.0704,2144,5
0.0706,2143,5
0.0708,2142,5
0.0710,2141,5
0.0712,2140,5
0.0714,2139,5
0.0716,2138,5
0.0718,2137,5
0.0720,2136,5
0.0722,2135,5
0.0724,2134,5
0.0726,2133,5
0.0728,2132,5
0.0730,2131,5
0.0732,2130,5
0.0734,2129,5
0.0736,2128,5
0.0738,2127,5
0.0740,2126,5
0.0742,2125,5
0.0744,2124,5
0.0746,2123,5
0.0748,2122,5
0.0750,2121,5
0.0752,2120,5
0.0754,2119,5
0.0756,2118,5
0.0758,2117,5
0.0760,2116,5
0.0762,2115,5
0.0764,2114,5
0.0766,2113,5
0.0768,2112,5
0.0770,2111,5
0.0772,2110,5
0.0774,2109,5
0.0776,2108,5
0.0778,2107,5
0.0780,2106,5
0.0782,2105,5
0.0784,2104,5
0.0786,2103,5
0.0788,2102,5
0.0790,2101,5
0.0792,2100,5
0.0794,2099,5
0.0796,2098,5
0.0798,2097,5
0.0800,2096,5
0.0802,2095,5
0.0804,2094,5
0.0806,2093,5
0.0808,2092,5
0.0810,2091,5
0.0812,2090,5
0.0814,2089,5
0.0816,2088,5
0.0818,2087,5
0.0820,2086,5
0.0822,2085,5
0.0824,2084,5
0.0826,2083,5
0.0828,2082,5
0.0830,2081,5
0.0832,2080,5
0.0834,2079,5
0.0836,2078,5
0.0838,2077,5
0.0840,2076,5
0.0842,2075,5
0.0844,2074,5
0.0846,2073,5
0.0848,2072,5
0.0850,2071,5
0.0852,2070,5
0.0854,2069,5
0.0856,2068,5
0.0858,2067,5
0.0860,2066,5
0.0862,2065,5
0.0864,2064,5
0.0866,2063,5
0.0868,2062,5
0.0870,2061,5
0.0872,2060,5
0.0874,2059,5
0.0876,2058,5
0.0878,2057,5
0.0880,2056,5
0.0882,2055,5
0.0884,2054,5
0.0886,2053,5
0.0888,2052,5
0.0890,2051,5
0.0892,2050,5
0.0894,2049,5
0.0896,2048,5
0.0898,2047,5
0.0900,2046,5
0.0902,2045,5
0.0904,2044,5
0.0906,2043,5
0.0908,2042,5
0.0910,2041,5
0.0912,2040,5
0.0914,2039,5
0.0916,2038,5
0.0918,2037,5
0.0920,2036,5
0.0922,2035,5
0.0924,2034,5
0.0926,2033,5
0.0928,2032,5
0.0930,2031,5
0.0932,2030,5
0.0934,2029,5
0.0936,2028,5
0.0938,2027,5
0.0940,2026,5
0.0942,2025,5
0.0944,2024,5
0.0946,2023,5
0.0948,2022,5
0.0950,2021,5
0.0952,2020,5
0.0954,2019,5
0.0956,2018,5
0.0958,2017,5
0.0960,2016,5
0.0962,2015,5
0.0964,2014,5
0.0966,2013,5
0.0968,2012,5
0.0970,2011,5
0.0972,2010,5
0.0974,2009,5
0.0976,2008,5
0.0978,2007,5
0.0980,2006,5
0.0982,2005,5
0.0984,2004,5
0.0986,2003,5
0.0988,2002,5
0.0990,2001,5
0.0992,2000,5
0.0994,1999,5
0.0996,1998,5
0.0998,1997,5
0.1000,1996,5
0.1002,1995,5
0.1004,1994,5
0.1006,1993,5
0.1008,1992,5
0.1010,1991,5
0.1012,1990,5
0.1014,1989,5
0.1016,1988,5
0.1018,1987,5
0.1020,1986,5
0.1022,1985,5
0.1024,1984,5
0.1026,1983,5
0.1028,1982,5
0.1030,1981,5
0.1032,1980,5
0.1034,1979,5
0.1036,1978,5
0.1038,1977,5
0.1040,1976,5
0.1042,1975,5
0.1044,1974,5
0.1046,1973,5
0.1048,1972,5
0.1050,1971,5
0.1052,1970,5
0.1054,1969,5
0.1056,1968,5
0.1058,1967,5
0.1060,1966,5
0.1062,1965,5
0.1064,1964,5
0.1066,1963,5
0.1068,1962,5
0.1070,1961,5
0.1072,1960,5
0.1074,1959,5
0.1076,1958,5
0.1078,1957,5
0.1080,1956,5
0.1082,1955,5
0.1084,1954,5
0.1086,1953,5
0.1088,1952,5
0.1090,1951,5
0.1092,1950,5
0.1094,1949,5
0.1096,1948,5
0.1098,1947,5
0.1100,1946,5
0.1102,1945,5
0.1104,1944,5
0.1106,1943,5
0.1108,1942,5
0.1110,1941,5
0.1112,1940,5
0.1114,1939,5
0.1116,1938,5
0.1118,1937,5
0.1120,1936,5
0.1122,1935,5
0.1124,1934,5
0.1126,1933,5
0.1128,1932,5
0.1130,1931,5
0.1132,1930,5
0.1134,1929,5
0.1136,1928,5
0.1138,1927,5
0.1140,1926,5
0.1142,1925,5
0.1144,1924,5
0.1146,1923,5
0.1148,1922,5
0.1150,1921,5
0.1152,1920,5
0.1154,1919,5
0.1156,1918,5
0.1158,1917,5
0.1160,1916,5
0.1162,1915,5
0.1164,1914,5
0.1166,1913,5
0.1168,1912,5
0.1170,1911,5
0.1172,1910,5
0.1174,1909,5
0.1176,1908,5
0.1178,1907,5
0.1180,1906,5
0.1182,1905,5
0.1184,1904,5
0.1186,1903,5
0.1188,1902,5
0.1190,1901,5
0.1192,1900,5
0.1194,1899,5
0.1196,1898,5
0.1198,1897,5
0.1200,1896,5
0.1202,1895,5
0.1204,1894,5
0.1206,1893,5
0.1208,1891,6
0.1210,1890,6
0.1212,1889,6
0.1214,1888,6
0.1216,1887,6
0.1218,1886,6
0.1220,1885,6
0.1222,1884,6
0.1224,1883,6
0.1226,1882,6
0.1228,1881,6
0.1230,1880,6
0.1232,1879,6
0.1234,1878,6
0.1236,1877,6
0.1238,1876,6
0.1240,1875,6
0.1242,1874,6
0.1244,1873,6
0.1246,1872,6
0.1248,1871,6
0.1250,1870,6
0.1252,1869,6
0.1254,1868,6
0.1256,1867,6
0.1258,1866,6
0.1260,1865,6
0.1262,1864,6
0.1264,1863,6
0.1266,1862,6
0.1268,1861,6
0.1270,1860,6
0.1272,1859,6
0.1274,1858,6
0.1276,1857,6
0.1278,1856,6
0.1280,1855,6
0.1282,1854,6
0.1284,1853,6
0.1286,1852,6
0.1288,1851,6
0.1290,1850,6
0.1292,1849,6
0.1294,1848,6
0.1296,1847,6
0.1298,1846,6
0.1300,1845,6
0.1302,1844,6
0.1304,1843,6
0.1306,1842,6
0.1308,1841,6
0.1310,1840,6
0.1312,1839,6
0.1314,1838,6
0.1316,1837,6
0.1318,1836,6
0.1320,1835,6
0.1322,1834,6
0.1324,1833,6
0.1326,1832,6
0.1328,1831,6
0.1330,1830,6
0.1332,1829,6
0.1334,1828,6
0.1336,1827,6
0.1338,1826,6
0.1340,1825,6
0.1342,1824,6
0.1344,1823,6
0.1346,1822,6
0.1348,1821,6
0.1350,1820,6
0.1352,1819,6
0.1354,1818,6
0.1356,1817,6
0.1358,1816,6
0.1360,1815,6
0.1362,1814,6
0.1364,1813,6
0.1366,1812,6
0.1368,1811,6
0.1370,1810,6
0.1372,1809,6
0.1374,1808,6
0.1376,1807,6
0.1378,1806,6
0.1380,1805,6
0.1382,1804,6
0.1384,1803,6
0.1386,1802,6
0.1388,1801,6
0.1390,1800,6
0.1392,1799,6
0.1394,1798,6
0.1396,1797,6
0.1398,1796,6
0.1400,1796,5
0.1402,1795,5
0.1404,1794,5
0.1406,1793,5
0.1408,1792,5
0.1410,1791,5
0.1412,1790,5
0.1414,1789,5
0.1416,1788,5
0.1418,1787,5
0.1420,1786,5
0.1422,1785,5
0.1424,1784,5
0.1426,1783,5
0.1428,1782,5
0.1430,1781,5
0.1432,1780,5
0.1434,1778,6
0.1436,1777,6
0.1438,1776,6
0.1440,1775,6
0.1442,1774,6
0.1444,1773,6
0.1446,1772,6
0.1448,1771,6
0.1450,1770,6
0.1452,1768,7
0.1454,1767,7
0.1456,1766,7
0.1458,1765,7
0.1460,1764,7
0.1462,1763,7
0.1464,1762,7
0.1466,1761,7
0.1468,1760,7
0.1470,1759,7
0.1472,1758,7
0.1474,1757,7
0.1476,1756,7
0.1478,1755,7
0.1480,1754,7
0.1482,1753,7
0.1484,1752,7
0.1486,1751,7
0.1488,1750,7
0.1490,1749,7
0.1492,1748,7
0.1494,1748,6
0.1496,1747,6
0.1498,1746,6
0.1500,1745,6
0.1502,1744,6
0.1504,1743,6
0.1506,1742,6
0.1508,1741,6
0.1510,1739,7
0.1512,1738,7
0.1514,1737,7
0.1516,1736,7
0.1518,1735,7
0.1520,1734,7
0.1522,1733,7
0.1524,1731,8
0.1526,1730,8
0.1528,1729,8
0.1530,1728,8
0.1532,1727,8
0.1534,1726,8
0.1536,1725,8
0.1538,1724,8
0.1540,1723,8
0.1542,1722,8
0.1544,1721,8
0.1546,1720,8
0.1548,1719,8
0.1550,1718,8
0.1552,1717,8
0.1554,1716,8
0.1556,1715,8
0.1558,1714,8
0.1560,1713,8
0.1562,1712,8
0.1564,1711,8
0.1566,1710,8
0.1568,1709,8
0.1570,1708,8
0.1572,1707,8
0.1574,1706,8
0.1576,1705,8
0.1578,1704,8
0.1580,1703,8
0.1582,1702,8
0.1584,1701,8
0.1586,1700,8
0.1588,1699,8
0.1590,1698,8
0.1592,1697,8
0.1594,1696,8
0.1596,1695,8
0.1598,1694,8
0.1600,1692,9
0.1602,1691,9
0.1604,1690,9
0.1606,1689,9
0.1608,1688,9
0.1610,1687,9
0.1612,1686,9
0.1614,1685,9
0.1616,1684,9
0.1618,1683,9
0.1620,1682,9
0.1622,1681,9
0.1624,1680,9
0.1626,1679,9
0.1628,1678,9
0.1630,1677,9
0.1632,1676,9
0.1634,1675,9
0.1636,1674,9
0.1638,1673,9
0.1640,1672,9
0.1642,1671,9
0.1644,1670,9
0.1646,1669,9
0.1648,1668,9
0.1650,1667,9
0.1652,1666,9
0.1654,1665,9
0.1656,1664,9
0.1658,1663,9
0.1660,1662,9
0.1662,1661,9
0.1664,1660,9
0.1666,1659,9
0.1668,1658,9
0.1670,1657,9
0.1672,1656,9
0.1674,1655,9
0.1676,1654,9
0.1678,1653,9
0.1680,1652,9
0.1682,1651,9
0.1684,1650,9
0.1686,1649,9
0.1688,1648,9
0.1690,1647,9
0.1692,1646,9
0.1694,1645,9
0.1696,1644,9
0.1698,1643,9
0.1700,1642,9
0.1702,1641,9
0.1704,1640,9
0.1706,1639,9
0.1708,1638,9
0.1710,1637,9
0.1712,1636,9
0.1714,1635,9
0.1716,1634,9
0.1718,1633,9
0.1720,1632,9
0.1722,1630,10
0.1724,1629,10
0.1726,1628,10
0.1728,1627,10
0.1730,1626,10
0.1732,1625,10
0.1734,1624,10
0.1736,1623,10
0.1738,1622,10
0.1740,1621,10
0.1742,1620,10
0.1744,1619,10
0.1746,1618,10
0.1748,1617,10
0.1750,1616,10
0.1752,1615,10
0.1754,1614,10
0.1756,1613,10
0.1758,1612,10
0.1760,1611,10
0.1762,1610,10
0.1764,1609,10
0.1766,1608,10
0.1768,1607,10
0.1770,1606,10
0.1772,1605,10
0.1774,1604,10
0.1776,1603,10
0.1778,1602,10
0.1780,1601,10
0.1782,1600,10
0.1784,1599,10
0.1786,1598,10
0.1788,1597,10
0.1790,1596,10
0.1792,1595,10
0.1794,1594,10
0.1796,1593,10
0.1798,1592,10
0.1800,1591,10
0.1802,1590,10
0.1804,1589,10
0.1806,1588,10
0.1808,1587,10
0.1810,1586,10
0.1812,1585,10
0.1814,1584,10
0.1816,1583,10
0.1818,1582,10
0.1820,1581,10
0.1822,1580,10
0.1824,1579,10
0.1826,1578,10
0.1828,1577,10
0.1830,1576,10
0.1832,1575,10
0.1834,1574,10
0.1836,1573,10
0.1838,1572,10
0.1840,1571,10
0.1842,1570,10
0.1844,1569,10
0.1846,1568,10
0.1848,1567,10
0.1850,1566,10
0.1852,1565,10
0.1854,1563,11
0.1856,1562,11
0.1858,1561,11
0.1860,1560,11
0.1862,1559,11
0.1864,1558,11
0.1866,1557,11
0.1868,1556,11
0.1870,1553,12
0.1872,1552,12
0.1874,1551,12
0.1876,1550,12
0.1878,1549,12
0.1880,1548,12
0.1882,1547,12
0.1884,1546,12
0.1886,1545,12
0.1888,1544,12
0.1890,1543,12
0.1892,1542,12
0.1894,1541,12
0.1896,1540,12
0.1898,1539,12
0.1900,1538,12
0.1902,1537,12
0.1904,1536,12
0.1906,1535,12
0.1908,1534,12
0.1910,1533,12
0.1912,1532,12
0.1914,1531,12
0.1916,1530,12
0.1918,1529,12
0.1920,1528,12
0.1922,1527,12
0.1924,1526,12
0.1926,1525,12
0.1928,1524,12
0.1930,1523,12
0.1932,1522,12
0.1934,1521,12
0.1936,1520,12
0.1938,1519,12
0.1940,1518,12
0.1942,1517,12
0.1944,1516,12
0.1946,1515,12
0.1948,1514,12
0.1950,1513,12
0.1952,1512,12
0.1954,1511,12
0.1956,1510,12
0.1958,1509,12
0.1960,1508,12
0.1962,1507,12
0.1964,1506,12
0.1966,1505,12
0.1968,1504,12
0.1970,1503,12
0.1972,1502,12
0.1974,1501,12
0.1976,1500,12
0.1978,1499,12
0.1980,1498,12
0.1982,1497,12
0.1984,1496,12
0.1986,1495,12
0.1988,1494,12
0.1990,1493,12
0.1992,1491,13
0.1994,1489,14
0.1996,1488,14
0.1998,1487,14
0.2000,1486,14
0.2002,1485,14
0.2004,1484,14
0.2006,1483,14
0.2008,1482,14
0.2010,1481,14
0.2012,1480,14
0.2014,1479,14
0.2016,1477,15
0.2018,1476,15
0.2020,1475,15
0.2022,1474,15
0.2024,1473,15
0.2026,1472,15
0.2028,1471,15
0.2030,1470,15
0.2032,1469,15
0.2034,1468,15
0.2036,1467,15
0.2038,1466,15
0.2040,1465,15
0.2042,1465,14
0.2044,1464,14
0.2046,1463,14
0.2048,1462,14
0.2050,1462,13
0.2052,1461,13
0.2054,1460,13
0.2056,1459,13
0.2058,1458,13
0.2060,1456,14
0.2062,1455,14
0.2064,1454,14
0.2066,1453,14
0.2068,1451,15
0.2070,1450,15
0.2072,1449,15
0.2074,1448,15
0.2076,1447,15
0.2078,1446,15
0.2080,1445,15
0.2082,1444,15
0.2084,1443,15
0.2086,1442,15
0.2088,1441,15
0.2090,1440,15
0.2092,1439,15
0.2094,1438,15
0.2096,1436,16
0.2098,1435,16
0.2100,1434,16
0.2102,1433,16
0.2104,1432,16
0.2106,1431,16
0.2108,1430,16
0.2110,1429,16
0.2112,1428,16
0.2114,1427,16
0.2116,1426,16
0.2118,1425,16
0.2120,1424,16
0.2122,1423,16
0.2124,1422,16
0.2126,1421,16
0.2128,1420,16
0.2130,1419,16
0.2132,1418,16
0.2134,1417,16
0.2136,1416,16
0.2138,1415,16
0.2140,1414,16
0.2142,1413,16
0.2144,1412,16
0.2146,1411,16
0.2148,1410,16
0.2150,1409,16
0.2152,1408,16
0.2154,1407,16
0.2156,1406,16
0.2158,1405,16
0.2160,1404,16
0.2162,1403,16
0.2164,1402,16
0.2166,1401,16
0.2168,1400,16
0.2170,1399,16
0.2172,1397,17
0.2174,1396,17
0.2176,1395,17
0.2178,1394,17
0.2180,1393,17
0.2182,1392,17
0.2184,1391,17
0.2186,1390,17
0.2188,1389,17
0.2190,1388,17
0.2192,1387,17
0.2194,1386,17
0.2196,1385,17
0.2198,1384,17
0.2200,1383,17
0.2202,1382,17
0.2204,1381,17
0.2206,1380,17
0.2208,1380,16
0.2210,1379,16
0.2212,1378,16
0.2214,1377,16
0.2216,1376,16
0.2218,1375,16
0.2220,1374,16
0.2222,1373,16
0.2224,1372,16
0.2226,1371,16
0.2228,1370,16
0.2230,1368,17
0.2232,1367,17
0.2234,1366,17
0.2236,1365,17
0.2238,1364,17
0.2240,1363,17
0.2242,1362,17
0.2244,1361,17
0.2246,1360,17
0.2248,1359,17
0.2250,1358,17
0.2252,1357,17
0.2254,1356,17
0.2256,1355,17
0.2258,1354,17
0.2260,1353,17
0.2262,1352,17
0.2264,1351,17
0.2266,1350,17
0.2268,1349,17
0.2270,1348,17
0.2272,1347,17
0.2274,1346,17
0.2276,1345,17
0.2278,1344,17
0.2280,1343,17
0.2282,1342,17
0.2284,1341,17
0.2286,1340,17
0.2288,1338,18
0.2290,1337,18
0.2292,1336,18
0.2294,1335,18
0.2296,1334,18
0.2298,1333,18
0.2300,1331,19
0.2302,1330,19
0.2304,1329,19
0.2306,1328,19
0.2308,1327,19
0.2310,1326,19
0.2312,1325,19
0.2314,1324,19
0.2316,1323,19
0.2318,1322,19
0.2320,1322,18
0.2322,1321,18
0.2324,1320,18
0.2326,1319,18
0.2328,1318,18
0.2330,1317,18
0.2332,1316,18
0.2334,1315,18
0.2336,1314,18
0.2338,1313,18
0.2340,1312,18
0.2342,1311,18
0.2344,1310,18
0.2346,1309,18
0.2348,1307,19
0.2350,1306,19
0.2352,1305,19
0.2354,1304,19
0.2356,1303,19
0.2358,1301,20
0.2360,1300,20
0.2362,1299,20
0.2364,1298,20
0.2366,1297,20
0.2368,1296,20
0.2370,1295,20
0.2372,1294,20
0.2374,1293,20
0.2376,1292,20
0.2378,1291,20
0.2380,1290,20
0.2382,1289,20
0.2384,1288,20
0.2386,1287,20
0.2388,1286,20
0.2390,1285,20
0.2392,1284,20
0.2394,1283,20
0.2396,1282,20
0.2398,1280,21
0.2400,1278,22
0.2402,1277,22
0.2404,1276,22
0.2406,1275,22
0.2408,1274,22
0.2410,1273,22
0.2412,1272,22
0.2414,1271,22
0.2416,1270,22
0.2418,1269,22
0.2420,1268,22
0.2422,1267,22
0.2424,1266,22
0.2426,1265,22
0.2428,1264,22
0.2430,1263,22
0.2432,1262,22
0.2434,1261,22
0.2436,1259,23
0.2438,1258,23
0.2440,1258,22
0.2442,1257,22
0.2444,1256,22
0.2446,1255,22
0.2448,1254,22
0.2450,1253,22
0.2452,1252,22
0.2454,1251,22
0.2456,1250,22
0.2458,1249,22
0.2460,1248,22
0.2462,1247,22
0.2464,1245,23
0.2466,1244,23
0.2468,1243,23
0.2470,1242,23
0.2472,1241,23
0.2474,1240,23
0.2476,1239,23
0.2478,1238,23
0.2480,1237,23
0.2482,1236,23
